id,title,brand,short_description,category,color,rating,price,image_url
28,Zara Red Bottoms,Zara,"Red bottoms by Zara, stylish and comfortable.",Bottoms,Red,3.3,3270,https://picsum.photos/seed/128/400/300
29,Puma Blue Bags,Puma,"Blue bags by Puma, stylish and comfortable.",Bags,Blue,3.5,14030,https://picsum.photos/seed/129/400/300
30,Prada Yellow Dresses,Prada,"Yellow dresses by Prada, stylish and comfortable.",Dresses,Yellow,4.8,2355,https://picsum.photos/seed/130/400/300
31,Puma Green Dresses,Puma,"Green dresses by Puma, stylish and comfortable.",Dresses,Green,3.5,3950,https://picsum.photos/seed/131/400/300
32,Reebok Yellow Bags,Reebok,"Yellow bags by Reebok, stylish and comfortable.",Bags,Yellow,3.8,3586,https://picsum.photos/seed/132/400/300
33,Nike Black Accessories,Nike,"Black accessories by Nike, stylish and comfortable.",Accessories,Black,3.6,11176,https://picsum.photos/seed/133/400/300
34,Puma Beige Electronics,Puma,"Beige electronics by Puma, stylish and comfortable.",Electronics,Beige,4.5,3171,https://picsum.photos/seed/134/400/300
35,Gucci Green Electronics,Gucci,"Green electronics by Gucci, stylish and comfortable.",Electronics,Green,3.4,3370,https://picsum.photos/seed/135/400/300
36,Nike Beige Dresses,Nike,"Beige dresses by Nike, stylish and comfortable.",Dresses,Beige,4.3,13393,https://picsum.photos/seed/136/400/300
37,Uniqlo Pink Dresses,Uniqlo,"Pink dresses by Uniqlo, stylish and comfortable.",Dresses,Pink,3.3,7259,https://picsum.photos/seed/137/400/300
38,Reebok Black Electronics,Reebok,"Black electronics by Reebok, stylish and comfortable.",Electronics,Black,4.6,9887,https://picsum.photos/seed/138/400/300
39,Nike Blue Sneakers,Nike,"Blue sneakers by Nike, stylish and comfortable.",Sneakers,Blue,3.1,4160,https://picsum.photos/seed/139/400/300
40,H&M Pink Accessories,H&M,"Pink accessories by H&M, stylish and comfortable.",Accessories,Pink,4.7,6820,https://picsum.photos/seed/140/400/300
41,Uniqlo Pink Accessories,Uniqlo,"Pink accessories by Uniqlo, stylish and comfortable.",Accessories,Pink,3.4,11931,https://picsum.photos/seed/141/400/300
42,Prada Blue Bottoms,Prada,"Blue bottoms by Prada, stylish and comfortable.",Bottoms,Blue,4.3,7367,https://picsum.photos/seed/142/400/300
43,Prada Brown Dresses,Prada,"Brown dresses by Prada, stylish and comfortable.",Dresses,Brown,4.4,6442,https://picsum.photos/seed/143/400/300
44,H&M Brown Shoes,H&M,"Brown shoes by H&M, stylish and comfortable.",Shoes,Brown,3.1,11510,https://picsum.photos/seed/144/400/300
45,H&M Pink Dresses,H&M,"Pink dresses by H&M, stylish and comfortable.",Dresses,Pink,4.2,8050,https://picsum.photos/seed/145/400/300
46,Zara White Outerwear,Zara,"White outerwear by Zara, stylish and comfortable.",Outerwear,White,3.6,8718,https://picsum.photos/seed/146/400/300
47,H&M Green Bags,H&M,"Green bags by H&M, stylish and comfortable.",Bags,Green,3.7,14268,https://picsum.photos/seed/147/400/300
48,H&M Red Tops,H&M,"Red tops by H&M, stylish and comfortable.",Tops,Red,4.9,8551,https://picsum.photos/seed/148/400/300
49,Puma Blue Sneakers,Puma,"Blue sneakers by Puma, stylish and comfortable.",Sneakers,Blue,3.1,12650,https://picsum.photos/seed/149/400/300
